class,cap-diameter,cap-shape,cap-color,stem-width
p,1.27,x,n,2.44
p,6.31,x,y,13.99
e,10.18,f,r,21.9
p,3.63,f,b,2.78
e,10.32,f,e,15.68
p,5.13,f,y,5.32
e,1.52,x,g,2.75
e,5.96,x,n,11.21
p,4.25,f,e,6.06
p,5.3,x,n,12.47
p,1.43,b,n,1.66
e,3.13,x,n,8.28
e,7.58,f,p,18.37
p,4.29,o,w,0
p,1.59,x,n,1.39
e,6.55,x,b,9.73
p,5.35,f,g,9.85
e,3.27,s,u,6.2
e,11.18,x,n,18.49
e,8.79,x,u,14.68
e,19.64,p,e,35.28
p,4.5,c,y,9.02
p,4.9,x,p,11.95
p,3.08,f,u,3.59
p,0.55,x,p,0.87
p,3.25,f,b,2.73
p,4.35,f,e,5.11
e,7.04,f,n,12.95
p,4.06,o,w,0
p,2.97,f,u,4.88
e,6.37,x,o,12.73
e,2.58,x,u,4.42
p,13.35,x,n,14.13
e,3.07,x,w,5.87
e,3.84,x,y,8.15
e,10.19,s,p,17.88
e,12.45,s,n,24.96
p,8.9,o,o,14.55
e,7.61,f,n,12.25
p,6.37,x,n,10.08
p,3.6,o,g,0
p,1.67,c,y,3.12
p,6.27,f,y,12.98
e,5.51,x,w,8.52
p,5.37,x,n,7.58
p,5.64,s,n,6.99
e,15.68,s,g,28.78
p,0.86,x,o,1.06
p,3.23,f,w,3.82
e,9.07,x,g,12.61
p,0.75,x,e,1.07
p,0.61,b,n,2.26
p,8.01,b,w,11.53
p,2.87,f,w,3.58
p,7.56,f,y,19.72
e,49.59,o,y,39.08
p,1.17,b,n,2.55
p,18.94,s,n,43.74
e,8.62,o,n,22.26
e,4.05,x,y,3.35
p,8.3,f,n,9.28
p,9.7,x,n,17.16
e,5.05,f,o,5.07
e,3.17,f,n,5.98
e,1.79,c,n,1.74
e,3.45,f,n,4.74
e,7.93,f,n,12.95
p,1.18,f,y,5.59
e,49.93,o,y,45.02
p,5.05,s,o,5.68
p,1.9,x,n,2.74
p,4.42,b,y,6.83
e,2.12,f,n,3.5
e,7.76,x,w,12.52
p,3.99,f,u,7.01
p,4.77,f,u,8.58
p,2.02,p,n,2.56
p,6.49,x,n,10.14
e,8.07,s,o,13.07
e,12.66,f,l,14.82
p,3.28,x,e,5.44
p,10.11,x,n,14.39
e,9.41,x,n,18.83
e,3.79,x,w,6.38
e,10.41,f,b,19.98
e,14.78,x,n,17.93
p,10.98,f,n,12.92
p,6.58,x,e,10.02
p,1.56,x,n,2.58
e,9.53,s,w,16.66
p,8.21,s,p,15.81
p,11.03,x,n,32.12
p,4.93,b,y,8.79
p,3.36,o,g,0
e,7.41,f,k,16.57
e,5.98,f,b,9.3
p,1.38,b,n,1.76
e,11.6,f,u,22.64
p,3.63,x,e,5.22
e,13.29,x,y,25.58
p,3.71,x,e,5.67
p,8.27,x,n,7.29
e,5.49,x,g,5.27
e,5.71,s,n,49.04
e,3.71,x,n,12.78
p,7.07,f,r,8.97
p,2.71,o,g,0
e,4.64,x,n,6.99
e,4.73,x,n,8.94
p,6.05,f,e,7.85
e,4.86,x,n,9.95
e,6.99,x,w,13.39
p,3.07,b,n,2.56
p,1.69,o,n,1.69
p,8.48,p,n,16.35
p,9.18,x,n,34.03
p,6.44,f,y,9.63
e,3.88,f,o,4.5
e,11.96,f,e,15.85
p,1.8,b,o,2.6
e,1.68,c,n,1.48
p,7.89,b,w,17.74
p,4.91,c,y,7.25
e,6.77,f,g,10.19
e,8.94,f,e,15.35
p,7.82,p,n,18
e,9.23,x,y,19.99
p,1.23,x,l,2.24
e,5.19,s,y,11.21
p,5.82,b,w,12.07
e,6.37,s,n,8.7
p,10.76,p,n,29.26
e,14.85,f,k,23.2
p,3.7,x,n,10.08
p,1.59,x,n,2.55
p,0.88,x,e,1.09
e,10.79,x,n,18.03
p,3.85,x,l,7.46
e,0.9,b,g,1.61
e,9.04,f,b,13.84
e,8.14,x,g,26.05
e,6.75,b,g,10.79
p,6.31,x,n,7.49
p,3.57,b,n,4.29
e,3.06,b,g,2.86
p,1.49,x,y,2.41
e,3.11,s,n,53.94
p,3.93,s,u,8.2
p,16.46,f,n,30.52
e,4.91,s,n,7.97
e,4.33,b,g,3.01
p,6.49,s,n,8.64
p,1.18,b,n,1.34
p,7.83,x,n,25.43
e,15.41,f,n,19.85
e,4.71,f,y,3.78
e,5.97,x,n,11.7
e,7.56,f,b,13.57
e,3.12,b,n,3.43
p,7.45,s,e,9.13
p,7.36,s,n,8.62
e,1.63,x,y,2.08
p,8.53,f,r,15.33
e,6.88,x,y,15.28
e,1.5,f,n,2.48
p,6.03,x,e,10.05
p,9.75,x,n,30.63
e,7.03,x,e,11.24
e,11.14,s,g,22.64
p,3.29,f,y,6.74
e,7.48,b,k,11.9
e,5.26,x,n,14.36
p,4.8,f,n,8.87
p,0.86,b,y,2.55
p,2.75,x,w,3.7
p,1.23,s,y,5.24
e,10.18,s,w,21.85
p,6.03,b,n,6.47
p,1.1,x,n,2.48
p,4.04,x,n,6.22
e,13.58,s,n,23.48
e,7.28,x,n,11.19
e,11.97,f,n,17.54
p,2.61,x,o,6.34
p,9.33,s,p,12.6
e,1.58,c,n,1.86
p,7.41,s,r,13.34
e,17.02,f,w,17.57
p,0.78,f,o,1.02
e,12.02,x,n,17.07
e,3.05,x,n,5.95
p,3.71,x,n,3.78
e,8.38,s,y,17.91
p,0.6,x,o,0.89
p,7.66,x,p,9.19
p,4.46,b,n,6.43
p,4.49,f,n,4.91
p,1.09,f,y,4.68
p,6.63,s,n,14.32
p,3.18,b,p,3.42
e,6.62,x,e,11.38
e,48.62,o,y,37.52
p,5.84,x,n,17.88
e,8.72,x,y,15.42
p,3.19,s,w,2.35
e,1.16,x,y,1.92
p,5.65,b,g,11.92
p,2.15,x,k,2.52
p,9.34,x,n,15.4
p,10.59,x,w,11.92
p,6.31,f,n,10.36
e,9.73,x,y,14.62
p,11.43,x,k,23.3
e,8.92,x,n,29.27
e,4.17,o,n,56.72
p,6.17,s,e,7.05
e,7.11,x,n,13.7
e,9.84,x,n,10.52
e,7.78,x,g,25.65
e,6.61,x,n,12
p,4.71,c,y,11.43
p,26.73,f,o,44.26
p,2.46,x,e,2.38
p,9.85,s,y,13.32
p,3.69,f,n,4.74
p,7.11,b,w,17.74
p,7.25,x,e,10.65
e,3.74,x,n,8.67
p,10.23,f,e,18.98
e,1.08,c,n,0.92
e,7.15,x,n,24.53
e,1.24,f,n,2.37
p,1.95,b,g,1.87
e,12.35,x,n,22.1
e,5.09,x,n,12.91
p,5.81,b,n,13.35
p,3.55,b,n,4.44
p,7.66,x,n,8.22
p,2.82,s,n,5.68
e,10.8,s,w,27.52
e,4.19,s,y,9.11
p,6.66,f,n,7.2
p,6.91,x,n,16.19
e,3.4,f,g,4.01
e,1.12,b,g,1.7
p,14.91,x,n,33.43
e,4.58,x,n,5.34
p,2.38,x,g,7.28
e,7.72,x,n,14.46
e,6.48,b,g,9
e,4.86,x,n,6.16
e,2.56,f,n,3.57
e,3.53,f,w,7.05
p,3.21,s,w,2.54
p,4.47,f,b,3.55
e,8.53,s,w,18.1
e,7.16,f,p,19.49
p,11.64,x,w,17.55
e,3.22,f,n,6.11
p,4.76,s,o,5.64
e,0.84,b,g,1.39
p,5.7,b,k,7.17
p,14.67,s,k,27.49
e,6.78,f,o,11.72
p,7.53,x,n,7.94
e,6.66,x,n,23.82
p,6.5,f,n,8.05
e,10.58,x,y,23.66
e,10.76,f,w,13.12
p,7.42,x,e,17.77
p,9.44,s,o,12.78
p,0.82,f,o,0.95
e,4.06,s,u,6.21
e,19.06,p,n,76.66
e,8.45,x,n,19.15
p,8.19,x,w,12.21
p,7.77,b,w,11.95
e,3.49,b,n,3.61
p,6.7,f,r,11.42
p,8.17,x,n,10.44
p,7.76,x,n,12.72
e,9.58,p,n,16.89
e,17.91,f,n,22.18
e,10.17,x,n,18.68
p,6.9,f,u,15.91
p,4.63,o,w,0
e,11.12,s,w,23.6
e,7.22,x,w,12.31
e,1.55,c,n,1.26
p,4.48,x,o,7.6
e,6.01,x,y,12.53
e,3.95,x,r,6.97
p,3.11,x,o,6.26
e,4.56,f,n,11.79
e,7.55,x,y,18.84
p,7.31,x,n,7.87
p,7.48,f,r,15.8
e,3.82,x,n,8.46
e,46.42,o,y,32.3
e,2.95,x,b,4.41
p,4.92,x,p,10.64
p,9.89,x,y,26.17
e,11.24,f,b,18.59
p,1.18,x,w,1.69
e,10.2,s,p,16.41
p,5.88,x,n,15.61
p,12.67,f,g,15.51
p,7.66,x,e,17.82
e,2.43,x,u,4.34
e,10.17,x,n,19.17
e,6.74,x,n,12.62
p,1.8,f,n,3.04
p,3.64,f,b,5.76
p,6.42,x,g,11.45
e,14.24,f,w,18.43
p,6.36,s,n,5.9
p,3.11,b,n,2.71
p,2.92,s,g,8.25
e,5.01,f,n,17.16
p,15.08,x,k,23.8
e,7.54,x,e,21.38
e,6.96,f,y,15.73
e,11.49,s,w,26.4
p,7.42,x,g,13.15
p,5.53,f,n,6.93
p,13.89,f,e,17.66
p,6.8,f,n,8.24
p,9.59,f,r,11.54
e,6.8,f,n,8.52
p,5.89,x,e,8.05
e,13.38,x,g,25.82
p,14.95,f,r,25.67
p,3.24,f,w,2.85
p,4.55,f,y,13.33
e,10.28,f,n,13.57
p,3.11,o,y,0
e,9.21,x,y,14.18
p,1.22,b,n,2.6
p,2.69,x,n,2.78
p,3.47,x,e,5.57
e,15.21,x,g,26.36
e,9,x,n,18.78
p,2.12,c,y,2.88
e,4.35,x,w,8.64
p,2.48,x,n,2.66
e,6.44,x,g,4.71
e,9.45,x,n,17.25
e,9.19,x,g,20.04
p,3.82,o,w,0
p,15.67,x,e,36.92
p,8.6,f,u,17.94
p,5.85,x,y,12.64
p,1.14,b,n,2.68
p,6.76,x,p,8.86
p,5.85,x,y,10.18
p,1.27,x,y,6.05
p,3.03,f,u,3.41
e,11.83,f,b,20.33
e,4.33,x,r,6.95
p,5.5,x,y,8.55
p,5.98,x,e,9.34
p,4.59,x,y,8.3
e,10.5,p,n,18.31
p,10.82,x,n,17.12
p,0.83,b,y,1.95
p,2.19,o,k,12.92
p,1.64,p,n,2.57
e,7.44,x,y,15.42
p,3.33,x,y,3.42
p,3.24,b,n,5.44
p,14.17,x,e,17.07
e,4.18,x,y,9.09
p,17.19,f,w,27.18
e,5.24,x,w,6.12
e,6.36,c,n,12.23
p,2.19,c,n,3.03
p,4.24,f,b,3.47
p,11.16,x,y,23.71
p,6.87,p,n,13.41
e,9.36,x,n,19.99
e,21.07,p,w,18.39
e,7.06,x,n,10.51
p,2.1,b,o,2.8
e,7.99,x,e,14.06
p,8.94,b,w,13.37
p,4.69,x,r,6.61
p,5.97,x,e,7.65
p,10.7,x,n,36.74
e,5.46,x,g,4.49
e,5.95,f,g,10.43
e,8.72,x,n,8.96
p,9.9,o,n,25.92
p,2.22,b,n,2.23
e,3.86,x,n,6.47
e,8.84,f,w,28.54
e,3.24,x,w,5.98
p,3.32,b,w,3.56
p,3.61,b,n,6.53
e,8.94,x,n,9.23
p,3,x,n,6.67
p,16.05,x,n,18.3
e,5.42,x,n,12.27
e,8.28,s,p,16.71
p,7.02,f,y,10.27
p,4.93,c,w,11.73
p,7.31,f,r,16.57
p,11.95,x,n,13.93
e,15.8,x,n,18.41
p,1.14,x,w,1.64
p,0.73,x,o,1.05
e,4.1,x,n,7.36
p,6.18,f,n,9.38
p,6.77,x,n,10.51
p,14.2,x,g,16.98
p,3.76,b,n,4.44
e,4.47,x,o,11.55
e,5.36,f,n,11.5
p,4.14,c,y,11.9
e,2.92,f,n,5.45
p,12.7,x,n,27.03
p,13.29,s,k,25.75
e,8.04,f,y,13.06
p,17.76,f,w,29.79
p,1.03,x,w,1.46
p,1.25,x,y,2.42
p,5.14,c,y,7.96
p,13.3,f,n,13.73
p,13.21,x,n,32.1
p,2.93,o,o,0
p,6.97,x,e,16.38
p,6.27,s,n,5.69
p,6.73,x,e,9.66
p,2.65,x,n,3.47
e,15.08,s,n,17.68
e,6.32,s,n,8.3
e,13.35,x,n,16.59
p,1.24,x,y,5.5
e,3.08,x,w,5.38
e,4.05,x,b,9.09
p,3.23,f,n,4.17
p,11.21,x,n,29.99
e,11.87,s,w,23.06
p,4.34,f,y,6.96
e,2.33,x,b,5.04
e,4.66,s,n,54.85
p,11.02,f,o,16.02
e,6.57,c,n,12.7
e,5.23,x,n,4.09
e,6.62,x,b,11.86
p,1.72,p,n,2.53
p,2.76,b,k,2.36
p,3.36,b,y,6.33
e,6.62,f,n,8.87
e,6.71,x,n,9.76
e,6.33,x,n,13.62
p,8,x,n,16.58
e,9.31,p,n,18.06
p,2.86,f,w,7.06
e,5.22,s,n,7.89
p,0.7,x,y,0.87
e,15.91,p,o,33.31
p,1,b,n,2.59
p,2.87,b,n,2.44
p,3.44,f,n,5.82
p,8.49,s,r,13.16
e,18.63,p,e,35.43
p,8.38,x,n,14.71
e,15,p,w,18.72
e,6.39,f,w,12.8
e,1.61,x,n,2.81
p,8.63,x,n,16.12
p,8.14,p,n,14.82
p,5.62,o,o,15.68
p,3.37,s,o,5.88
p,5.13,s,o,6.81
p,2.69,s,w,8.36
e,4.74,x,n,4.31
p,0.51,f,o,0.96
p,8.56,s,r,13.39
p,3.6,b,g,2.65
p,5.47,x,n,6.61
p,8.84,s,k,25.24
p,2,x,l,2.49
e,8.74,x,y,24.73
p,2.79,x,g,6.42
p,16.36,f,w,31.57
e,6.29,x,y,12.92
p,8.88,x,y,10.51
e,9.41,f,n,16.95
e,5.73,c,n,22.09
p,5.52,x,p,12.92
e,8.14,f,g,19.12
p,4.01,b,y,8.3
e,9.92,f,n,17.04
e,6.02,f,b,9.45
e,2.32,s,n,3.68
p,5.97,x,g,13.9
p,7.47,f,u,12.56
e,4.35,x,r,6.11
p,17.08,f,n,32.52
p,7.93,x,e,17.11
p,10.06,o,e,24.33
p,12.26,x,o,24.83
e,1.48,x,n,2.45
e,10.44,s,l,17.99
p,1.45,b,y,2.91
p,5.54,f,y,6.01
p,1.66,x,n,1.78
p,5.09,s,y,5.79
e,11.04,x,e,15.09
e,8.21,x,n,17.22
p,8.35,x,e,18.35
e,6.82,f,n,12.56
p,4.87,s,n,4.55
e,6.9,x,e,12.01
p,4.7,f,y,5.3
p,4.04,x,e,6.71
e,7.5,x,w,8
p,9.22,s,o,12.05
e,5.72,x,y,13.11
p,4.52,f,e,4.8
e,8.46,x,n,13.31
p,8.91,f,w,11.56
e,13.11,f,n,24.48
e,0.94,p,g,1.45
p,7.66,x,n,14.98
p,1.33,c,n,2.5
e,3.05,x,n,9.55
p,1.57,b,g,1.67
p,2.82,x,w,2.49
e,4.22,b,n,3.34
p,3.27,b,l,7.8
p,5.77,c,y,6.86
p,3.93,x,n,3.3
e,7.84,f,w,27.7
p,2.84,x,n,6.29
e,17.17,f,w,19.31
p,4.64,b,n,5.55
e,6.59,x,u,16.68
p,14.42,x,k,25.02
e,4.35,f,n,4.14
p,14.12,x,n,26.55
e,7.52,p,n,13.96
p,5.34,x,w,13.59
p,14.56,x,n,25.59
e,10.9,x,n,16.87
p,10.95,s,n,40
p,5.32,s,n,10.4
e,3.71,b,n,2.79
e,7.29,s,b,12.78
p,5.34,x,k,8.24
p,0.7,x,o,0.97
e,7.41,x,w,9.08
p,5.36,s,e,7.98
e,5.52,f,n,12.42
p,6.31,s,r,10.85
p,0.67,f,o,1.07
p,3.56,x,y,6.77
e,5.78,x,n,13.11
e,3.49,b,w,2.69
p,3.34,o,k,15.14
p,2.52,x,n,2.41
p,16.14,x,o,23.66
p,11.01,x,n,30.62
p,23.15,f,o,33.34
p,21.18,f,w,30.64
p,4.63,x,n,6.46
e,1.15,x,n,0.98
e,15.15,x,g,24.93
e,19.22,p,n,70.59
e,6.93,f,y,15.51
p,5.5,x,r,13.73
e,5.49,x,n,12.04
p,1.62,o,n,1.62
p,3.69,s,n,5.37
p,2.25,s,n,5.12
e,7.3,x,w,31.16
p,9.02,s,o,12.53
p,7.43,x,w,12.47
e,13.05,x,n,17.63
p,7.03,x,n,6.65
e,9.06,x,y,15.4
p,2.11,b,y,3.01
p,5.12,b,o,7.49
p,5.73,x,e,12.46
p,3.86,x,r,8.04
e,16,p,w,19.61
p,4.77,x,n,5.58
p,6.38,o,e,20.75
e,7.05,s,w,9.11
p,0.68,f,o,1
p,7.02,x,e,8.43
p,1.49,x,n,1.32
e,6.84,f,b,12.82
e,2.59,x,p,5.92
e,1.19,x,e,1.11
e,5.85,f,y,9.61
p,1.53,b,n,1.67
p,4.54,x,y,8.39
p,14.27,x,e,16.87
p,0.64,x,e,0.95
p,4.41,o,w,0
p,7.85,s,g,11.79
p,6.84,b,w,11.16
p,3.99,s,u,6.7
e,15.57,s,n,23.91
p,3.79,b,k,3
p,4.48,f,n,4.72
p,3.65,f,n,4.47
p,5.88,f,y,12.95
e,8.35,f,n,13.82
p,0.68,x,o,0.93
p,3.25,x,n,5.79
e,6.5,x,w,13.27
p,7.82,x,e,18.21
e,3.46,x,n,6.49
p,11.24,x,y,21.85
p,2.42,f,b,2.69
e,5.18,x,n,7.98
e,13.21,f,g,16.84
e,3.83,x,y,9.62
p,12.99,f,n,25
p,1.61,x,y,2.19
e,6.69,x,y,16.8
e,4.16,f,g,3.26
p,7.99,s,n,12.05
e,3.34,f,w,5.95
e,47.61,o,y,34.77
p,8.26,f,y,16.94
p,7.18,x,w,10.97
e,6.04,f,n,8.32
p,3.38,f,p,5.27
p,3.14,o,g,0
p,1.44,b,n,1.61
p,11.14,x,o,22.12
p,3.29,x,y,3.45
e,12.64,f,b,13.08
p,1.99,b,g,2.13
e,6.1,s,y,14.49
p,9.92,s,o,12.47
e,6.36,x,n,11.08
p,3.06,o,g,0
p,3.5,x,w,2.81
p,10.75,x,g,26.94
p,2.69,f,r,5.42
p,4.88,o,w,29.15
p,2.98,f,n,3.56
p,3.56,x,p,5.83
e,11.21,f,y,25.3
p,8.35,s,p,14.87
e,6.46,x,y,13.01
e,7.12,x,n,14.41
e,7.11,f,o,13.32
p,7.54,x,n,13.79
e,6.42,f,y,15.49
p,3.39,b,n,2.63
e,10.74,x,e,18.33
e,10.43,s,u,20.96
e,2.96,x,n,9.89
p,7.24,f,y,10.76
p,2.41,x,w,2.19
p,5.42,x,k,7.72
e,7.29,x,l,18.51
p,5.59,f,n,6.41
p,6.85,f,y,10.47
p,5.21,f,n,6.3
p,7.91,b,w,13
p,4.91,o,n,0
p,2.37,b,w,3.33
p,3.02,b,y,6.94
p,17.87,s,n,39.1
p,7.21,s,e,10.35
p,9.36,s,p,16.5
p,5.04,c,y,7.33
e,7.34,x,n,22.62
p,4.62,x,y,8.63
e,10.33,x,n,21.48
p,13.4,x,w,28.18
e,7.31,x,y,15.83
p,4.45,f,n,4.66
p,5.94,o,r,10.89
p,3.64,x,g,7.28
p,3.13,o,g,0
e,3.24,x,n,9.54
p,1.2,s,y,5.32
e,7.05,c,n,12.49
p,3.09,f,b,2.74
e,11.58,x,y,22.09
e,11.08,p,n,18.15
p,2.68,x,n,2.38
p,13.48,x,n,29.12
e,1.72,x,g,2.48
p,5.62,x,e,10.15
p,2.92,x,e,6.43
e,9.36,x,n,17.83
e,4.88,f,o,7.35
e,2.56,x,u,4.45
e,10.6,f,w,12.84
e,3.1,b,n,3.62
p,2.67,x,w,2.65
p,2.58,f,u,3.81
p,1.64,p,n,2.66
e,6.54,b,k,11.7
p,0.62,x,p,0.87
p,7.76,x,y,7.51
p,3.02,x,n,7.61
e,6.55,x,g,6.84
e,3.44,b,n,3.11
e,11.51,f,b,15.4
p,2.36,x,n,2.76
p,1.29,b,n,1.47
p,8.95,x,n,17.83
p,4.96,o,w,33.36
e,4.01,s,y,8.43
p,3.02,f,n,5.69
e,5.84,p,w,12.12
p,7.39,x,n,7.91
e,7.74,x,n,10.35
e,8.28,x,y,17.91
e,3.52,x,n,9.86
p,4.33,o,w,34.91
p,1.47,o,n,1.31
e,2.4,f,n,2.77
p,5.91,p,n,12.5
e,3.88,f,u,6.55
p,8.77,p,w,17.7
p,5.45,s,e,5.07
p,6.78,x,n,9.55
e,6.48,x,g,19.82
e,9.05,x,n,9.86
p,3.82,s,u,8.59
e,7.59,f,n,9.23
e,7.02,f,y,15.86
e,16.34,p,w,20.46
p,4.62,x,y,7.01
p,2.23,b,o,2.86
e,3.37,x,b,4.7
p,4.09,b,y,8.42
e,9.97,s,g,21.66
e,7.28,s,y,16.56
p,1.26,x,n,2.52
p,5.39,x,y,15.08
p,3.42,s,n,5.64
e,4.45,b,g,7.68
p,2.54,s,n,5.44
e,3.83,x,y,9.72
p,7.36,p,n,16.35
p,6.35,x,n,7.61
p,17.87,f,w,28.76
e,23.94,p,n,75.23
e,5.91,x,y,13.62
p,4,f,y,11.85
p,2.56,f,o,5.87
p,1.84,f,n,2.95
p,6.22,x,e,10.36
p,3.21,f,p,6.81
p,8,p,n,17.08
p,1.62,x,n,1.34
e,7.89,x,k,16.62
p,1.77,b,o,3.24
p,4.14,b,l,7.43
e,4.55,x,n,9.56
p,3.6,b,n,4.51
p,4.91,x,o,6.91
p,6.11,b,k,9.02
e,8.95,f,o,14.37
e,4.37,s,n,42.09
p,11.61,x,n,18.35
e,3.95,x,n,5.87
e,5.37,x,b,8.99
p,3.17,x,w,2.46
p,10.08,x,n,31.93
e,13.02,x,n,23.71
e,0.77,p,w,1.4
p,3.81,f,p,6.09
p,7.36,x,g,21.27
p,3.08,f,y,6.05
e,3.01,x,n,10.2
p,4.72,o,w,0
p,3.8,f,u,6.3
p,5.23,x,e,12.81
p,3.71,x,o,5.71
p,2.62,f,o,5.36
p,13.33,x,y,17.65
e,4.57,x,n,10.84
e,3.96,f,w,3.89
p,18.36,s,w,26.99
p,1.25,o,n,1.23
p,3.81,x,e,6.25
p,6.97,x,p,9.51
e,5.64,b,g,9.87
e,2.65,x,w,5.55
e,4.85,f,n,7.91
p,2.28,x,n,2.11
p,2.8,f,n,3.31
p,2.78,o,g,15.82
e,2.67,b,n,3.39
p,7.81,s,n,10.25
e,2.48,x,w,5
p,3.85,b,n,4.5
p,2.08,p,n,2.51
p,2.28,b,n,4.25
p,10.96,x,y,25.84
e,3.45,x,w,6.7
p,15.29,f,r,26.73
e,3.83,x,n,10.43
p,3.78,s,y,4.73
e,1.62,x,y,2.06
e,4.11,x,n,5.58
p,2.74,o,g,0
p,2.28,x,e,4.71
p,7.18,s,p,13.06
e,13.62,x,n,17.85
e,2.8,s,n,4.15
e,6.3,c,n,13.26
p,4.98,b,y,8.02
p,7.98,b,w,15.78
p,7.95,x,p,9.42
p,3.78,s,y,5.77
p,4.49,f,e,5.63
p,2.16,p,n,2.72
p,6.73,x,n,7.23
e,6.44,c,n,12.07
p,6.67,f,n,7.03
p,5.89,x,e,7.95
e,2.93,b,n,2.52
p,6.69,x,w,12.09
p,17.12,f,k,35.19
e,2.43,x,n,9.6
p,1.46,b,n,1.2
p,3.92,x,w,3.94
p,3.79,f,w,2.7
e,7.5,x,y,17.97
e,9.19,s,n,21.11
p,9.33,x,y,12.02
e,53.72,o,y,47.03
e,4.17,x,n,10.3
e,4.4,s,n,6.07
p,8.58,b,w,14.72
e,8.39,x,y,14.09
p,5.12,b,l,7.93
p,4.69,c,y,11.68
p,4.26,x,y,7.12
p,3.2,b,r,7.11
p,4.15,x,y,7.29
p,6.18,x,n,6.38
p,4.52,x,p,7.02
p,6.43,s,y,14.46
p,5.09,x,w,11.67
e,6.85,f,n,8.66
e,4.92,x,w,12.26
e,5.39,x,g,3.34
p,1.17,b,n,1.47
e,7.37,f,n,11.84
e,5.86,x,n,11.93
p,2.31,f,o,5.8
p,7.82,f,y,10.88
p,1.84,b,w,2.81
p,7.39,x,e,6.24
p,3.41,x,e,4.37
p,10.99,s,o,13.85
p,4.04,x,l,8.33
p,4.25,x,y,13.05
p,8,o,n,13.1
p,10.03,f,w,12.79
p,4.58,x,b,6.96
e,5.52,x,w,8.72
e,4.17,s,n,47.69
p,5.86,f,g,10.8
e,3.63,b,w,2.87
e,7.84,f,o,12.57
p,1.86,f,k,2.41
p,2.47,x,e,2.63
e,8.53,s,p,18.27
e,7.63,s,n,20.32
p,3.21,f,g,8.59
p,8.83,x,w,11.53
p,9.51,f,p,10.91
p,7.78,x,e,17.07
p,0.83,x,o,1.06
p,0.64,x,y,0.67
p,3,x,n,6.18
p,5.11,o,w,0
p,4.94,x,w,11.57
e,4.6,o,n,66.15
e,44.43,o,y,17.25
e,6.46,x,n,5.33
p,14.34,f,o,15.99
e,3.83,s,n,8.75
p,8.17,p,n,18.05
p,6.12,s,e,5.65
p,1.14,f,l,2.09
e,2.83,b,w,3.19
p,3.62,x,w,8.82
p,14.11,x,r,16.89
p,9.54,f,w,9.99
p,6.15,x,n,7.33
p,5.7,b,n,12.9
p,24.19,s,w,31.64
p,1.5,x,n,1.4
p,8.01,s,o,11.67
e,2.15,b,w,2.02
p,1.95,b,n,3.18
p,6.59,x,n,15.21
e,2,s,n,2.32
p,18.68,s,n,37.25
p,3.13,f,u,5.08
e,6.69,f,w,30.92
p,3.69,f,u,7.64
e,7.23,f,n,9.06
e,12.74,x,n,22.64
p,2.32,p,n,2.63
p,7.39,f,u,16.08
e,6.05,x,n,15.77
p,7.11,x,r,15.87
e,6.92,f,w,23.83
e,1.5,f,n,2.81
p,5.51,b,n,6.93
p,8,b,w,16.27
p,7.86,x,n,20.38
p,3.23,f,w,3.72
p,4.9,o,n,0
p,12.8,s,r,28.31
p,15.23,x,n,36.17
p,11.16,x,n,13.33
p,4.99,c,y,7.15
p,8.58,s,y,12.71
e,11.98,x,n,17.68
e,3.1,x,w,5.36
e,4.85,x,y,9.53
e,7.38,f,e,12.61
p,7.39,s,n,9.25
p,3.16,o,g,0
e,5.9,x,y,13.23
p,0.82,x,p,1.15
p,1.74,b,n,2.79
e,4.38,x,y,10.12
p,7.96,s,r,12.56
e,6.94,s,w,7.99
e,7.18,f,w,28.99
p,3.33,x,o,5.61
e,15.4,p,n,16.55
p,3.46,x,y,3.62
e,0.73,x,e,0.97
p,9.38,p,n,18.02
p,2.8,x,n,9.37
p,8.05,s,p,16.84
e,55.86,o,y,38.54
e,16.14,s,n,25.58
p,5.73,x,e,9.98
e,11.46,f,y,23.92
p,1.12,x,y,4.59
p,9.2,x,n,13.94
e,7.51,x,g,15.46
p,3.42,f,n,3.27
e,4.01,o,n,47.7
p,3.4,f,n,2.81
e,6.42,x,n,5.25
e,7.83,x,y,25.7
e,6.88,s,g,17.64
e,8.17,f,y,13.89
p,14.25,f,g,24.99
p,6.74,s,e,9.01
p,12.85,x,n,31.54
p,8.47,b,w,13.09
p,1.95,b,n,3.15
e,12.9,x,n,80.81
e,9.23,p,w,12.77
p,13.69,x,y,17.59
e,4.42,x,n,12.54
p,6.67,f,n,15.01
e,6.53,x,y,12.68
e,20.77,p,n,76.3
p,8.91,f,u,17.09
p,3.54,o,g,0
e,3.98,f,n,7.06
e,3.61,f,n,5.05
e,11.77,x,r,24.21
p,3.58,f,n,3.26
p,7.08,s,e,7.92
p,8.68,x,n,20.88
p,4.14,f,b,3.48
p,5.55,x,y,8.41
e,3.25,f,n,6.74
p,6.55,c,y,13.23
e,8.27,x,y,18.63
p,6.42,b,w,11.89
e,3.9,x,o,6.01
e,10.09,f,n,15.8
p,6.31,x,n,16.23
p,4,b,r,8.17
e,11.51,x,n,18.21
p,8.37,x,n,8.38
p,4.6,c,y,8
p,8.38,f,n,15.48
e,10.52,x,n,18.67
p,11.02,x,o,28.09
p,17,s,n,29.9
e,1.46,c,n,1.39
p,3.86,b,r,7.97
e,5.95,p,w,12.82
p,7.57,x,y,7.01
p,0.58,x,y,0.65
p,0.71,x,o,1.01
